ID,Description,Amount,Date,Category,Type,GST Amount
961720,Workshop Income,62017,"03/20/2025, 06:29:34 PM",Sales Revenue,income,0.0
840163,Employee Bonus,-61208,"01/19/2025, 10:35:48 PM",Professional Services,expense,11017.44
208724,Internet Bill,-4004,"04/11/2025, 07:12:59 PM",Employee Benefits,expense,720.72
254205,Office Chair,-34752,"03/22/2025, 02:34:26 PM",Employee Benefits,expense,6255.36
224761,Electricity Bill,-27682,"02/17/2025, 01:58:46 PM",Employee Benefits,expense,4982.76
763594,Flight Ticket,-65431,"03/16/2025, 09:03:40 AM",Electronics & IT Equipment,expense,11777.58
657137,Service Fee,74287,"04/05/2025, 03:33:23 PM",Freelancing Income,income,0.0
620955,Workshop Income,80016,"01/30/2025, 04:24:21 PM",Sales Revenue,income,0.0
695468,Workshop Income,182789,"04/12/2025, 07:23:53 PM",Consulting Income,income,0.0
283398,Flight Ticket,-16791,"03/08/2025, 07:13:40 AM",Travel & Transportation,expense,3022.38
349919,Office Chair,-29864,"03/08/2025, 03:23:06 AM",Professional Services,expense,5375.52
588396,Printer Ink,-11518,"03/03/2025, 07:26:45 AM",Office Expenses,expense,2073.24
165084,Employee Bonus,-18656,"02/28/2025, 02:26:12 PM",Professional Services,expense,3358.08
742598,Software Subscription,-41919,"02/06/2025, 09:49:47 AM",Travel & Transportation,expense,7545.42
861984,Software Subscription,-6591,"03/31/2025, 11:28:23 PM",Professional Services,expense,1186.38
343257,Workshop Income,69323,"03/10/2025, 06:45:42 PM",Sales Revenue,income,0.0
286060,Laptop Purchase,-3392,"03/16/2025, 12:04:27 PM",Office Expenses,expense,610.56
630810,Flight Ticket,-4187,"01/25/2025, 05:49:23 PM",Electronics & IT Equipment,expense,753.66
898925,Workshop Income,174161,"03/15/2025, 07:36:42 AM",Sales Revenue,income,0.0
914818,Printer Ink,-73407,"03/04/2025, 07:58:17 AM",Electronics & IT Equipment,expense,13213.26
841866,Employee Bonus,-69611,"01/30/2025, 05:50:40 PM",Professional Services,expense,12529.98
528573,Printer Ink,-34256,"03/11/2025, 10:11:48 PM",Travel & Transportation,expense,6166.08
721759,Laptop Purchase,-75203,"01/05/2025, 08:22:23 PM",Employee Benefits,expense,13536.54
731081,Software Subscription,-36742,"01/23/2025, 07:35:24 AM",Electronics & IT Equipment,expense,6613.56
197242,Office Chair,-1994,"04/21/2025, 07:19:53 AM",Electronics & IT Equipment,expense,358.92
566136,Workshop Income,10275,"03/01/2025, 10:44:21 PM",Consulting Income,income,0.0
409385,Workshop Income,139329,"01/06/2025, 04:05:51 AM",Freelancing Income,income,0.0
276068,Consulting Payment,117528,"01/07/2025, 03:42:06 PM",Freelancing Income,income,0.0
431458,Electricity Bill,-59582,"02/18/2025, 01:58:54 AM",Office Expenses,expense,10724.76
234561,Office Chair,-22400,"02/11/2025, 07:24:36 PM",Travel & Transportation,expense,4032.0
573514,Workshop Income,92367,"04/12/2025, 01:05:44 PM",Sales Revenue,income,0.0
107368,Employee Bonus,-20871,"04/20/2025, 05:50:40 PM",Professional Services,expense,3756.78
920722,Product Sale,176847,"04/13/2025, 03:54:02 AM",Freelancing Income,income,0.0
271944,Consulting Payment,64909,"01/05/2025, 10:03:57 PM",Freelancing Income,income,0.0
948270,Flight Ticket,-57435,"01/30/2025, 09:48:26 PM",Rent & Utilities,expense,10338.3
623537,Taxi Fare,-16197,"02/01/2025, 11:03:06 PM",Office Expenses,expense,2915.46
355209,Taxi Fare,-37475,"04/18/2025, 07:38:41 AM",Rent & Utilities,expense,6745.5
686583,Office Chair,-1336,"02/12/2025, 03:05:10 AM",Travel & Transportation,expense,240.48
236376,Consulting Payment,194327,"04/20/2025, 11:39:36 AM",Freelancing Income,income,0.0
818140,Flight Ticket,-77963,"01/25/2025, 04:23:17 AM",Travel & Transportation,expense,14033.34
791692,Printer Ink,-28359,"03/28/2025, 09:47:18 PM",Rent & Utilities,expense,5104.62
607480,Laptop Purchase,-5475,"04/15/2025, 03:27:45 PM",Employee Benefits,expense,985.5
172993,Office Chair,-2005,"02/23/2025, 08:33:53 AM",Professional Services,expense,360.9
655136,Office Chair,-52103,"01/02/2025, 12:19:22 PM",Employee Benefits,expense,9378.54
560045,Service Fee,76755,"03/30/2025, 11:38:59 AM",Freelancing Income,income,0.0
531792,Service Fee,128075,"02/06/2025, 06:08:47 PM",Freelancing Income,income,0.0
284874,Product Sale,20194,"02/03/2025, 12:59:37 PM",Sales Revenue,income,0.0
405480,Office Chair,-12498,"03/06/2025, 03:59:56 AM",Travel & Transportation,expense,2249.64
327343,Taxi Fare,-21973,"01/30/2025, 03:56:13 AM",Rent & Utilities,expense,3955.14
522753,Laptop Purchase,-48538,"03/07/2025, 08:21:55 AM",Travel & Transportation,expense,8736.84
638271,Product Sale,186262,"04/08/2025, 10:12:18 AM",Non-Taxable,income,0.0
576723,Office Chair,-28449,"01/13/2025, 10:11:58 AM",Travel & Transportation,expense,5120.82
604936,Taxi Fare,-34802,"02/11/2025, 06:23:53 AM",Rent & Utilities,expense,6264.36
789427,Workshop Income,170907,"03/23/2025, 10:19:57 PM",Freelancing Income,income,0.0
917498,Office Chair,-11889,"03/13/2025, 03:41:29 PM",Travel & Transportation,expense,2140.02
840990,Flight Ticket,-32434,"03/24/2025, 03:43:29 AM",Employee Benefits,expense,5838.12
768179,Consulting Payment,103920,"01/03/2025, 10:37:13 AM",Freelancing Income,income,0.0
130538,Software Subscription,-27970,"02/28/2025, 02:53:11 AM",Professional Services,expense,5034.6
560335,Printer Ink,-79392,"01/26/2025, 12:17:17 AM",Electronics & IT Equipment,expense,14290.56
611345,Software Subscription,-32504,"03/20/2025, 12:25:12 PM",Electronics & IT Equipment,expense,5850.72
450357,Client Payment,122715,"03/17/2025, 06:41:31 PM",Consulting Income,income,0.0
730342,Laptop Purchase,-55193,"02/21/2025, 02:52:57 PM",Rent & Utilities,expense,9934.74
500107,Taxi Fare,-23065,"03/24/2025, 03:52:46 PM",Employee Benefits,expense,4151.7
672146,Product Sale,30971,"02/08/2025, 05:49:00 AM",Consulting Income,income,0.0
876888,Electricity Bill,-58741,"03/16/2025, 05:12:25 PM",Professional Services,expense,10573.38
266219,Service Fee,90922,"02/14/2025, 02:33:26 PM",Sales Revenue,income,0.0
587037,Consulting Payment,49027,"03/27/2025, 11:50:48 PM",Freelancing Income,income,0.0
438418,Software Subscription,-47867,"03/14/2025, 03:38:35 AM",Professional Services,expense,8616.06
984296,Office Chair,-34466,"01/27/2025, 11:30:51 AM",Travel & Transportation,expense,6203.88
348244,Employee Bonus,-26843,"02/14/2025, 11:42:32 PM",Employee Benefits,expense,4831.74
588643,Printer Ink,-75330,"04/01/2025, 02:47:21 PM",Electronics & IT Equipment,expense,13559.4
368618,Software Subscription,-36691,"03/20/2025, 04:55:49 PM",Electronics & IT Equipment,expense,6604.38
457110,Software Subscription,-8058,"04/12/2025, 10:08:39 PM",Electronics & IT Equipment,expense,1450.44
